,Capital_Importation_MUSD
2013-09-30,22093.79
2013-12-31,28088.34
2014-03-31,23426.64
2014-06-30,34821.61
2014-09-30,39253.08
2014-12-31,151498.19
2015-03-31,16029.54
2015-06-30,15998.15
2015-09-30,16488.63
2015-12-31,67199.8
2016-03-31,4265.8
2016-06-30,6253.03
2016-09-30,10932.699999999999
2016-12-31,40032.03
2017-03-31,5447.5969911
2017-06-30,10754.06948476
2017-09-30,24870.58654874
2017-12-31,105654.51759521
2018-03-31,37821.78283626
2018-06-30,33031.30216777
2018-09-30,17131.2218748
2018-12-31,113665.2855123
2019-03-31,76576.23369485
2019-06-30,54470.79410097
2019-09-30,50572.60838713
2019-12-31,250024.00456367
2020-03-31,52689.40634088
2020-06-30,11644.507831480001
2020-09-30,13153.37702675
2020-12-31,96303.03197595
2021-03-31,77457.58868974242
2021-06-30,7880.55244477
2021-09-30,15582.3573638
2021-12-31,19688.690864509997
2022-03-31,14158.23909366
2022-06-30,61755.08194784
2022-09-30,10437.03095984
2022-12-31,9546.50776209
2023-03-31,10193.81236174
2023-06-30,9271.8939164
2023-09-30,39509.15942028
2023-12-31,9567.67758741
2024-03-31,28778.70058158
2024-06-30,22367.433184150002
2024-09-30,11632.499215920001
2024-12-31,167950.45925411
2025-03-31,55308.70711787
